stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
61880,61880,185E trip 222450169 route 53165 => 61881 depart 20200901 15:33,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61881,61881,185E trip 222450169 route 53165 => 61881 depart 20200901 15:33,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
60712,60712,45E trip 223162531 route 60712 => 60712 depart 20200901 16:13,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61880,61880,185E trip 223162525 route 61692 => 61881 depart 20200901 15:35,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61881,61881,185E trip 223162525 route 61692 => 61881 depart 20200901 15:35,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61864,61864,180E trip 222752462 route 50248 => 61834 depart 20200901 15:45,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61865,61865,180E trip 222752462 route 50248 => 61834 depart 20200901 15:45,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61870,61870,180E trip 222752462 route 50248 => 61834 depart 20200901 15:45,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
59836,59836,109E trip 221216456 route 59836 => 59836 depart 20200901 15:45,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
59836,59836,109E trip 221220585 route 59836 => 54112 depart 20200901 15:45,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
60369,60369,208E trip 222779123 route 60369 => 60369 depart 20200901 16:15,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61389,61389,100E trip 222767033 route 61389 => 56110 depart 20200902 14:50,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61557,61557,202E trip 222777940 route 61557 => 61557 depart 20200902 14:50,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61389,61389,100E trip 222767229 route 61389 => 61389 depart 20200902 14:50,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61557,61557,202E trip 222764987 route 61557 => 61557 depart 20200902 14:50,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61557,61557,202E trip 222777401 route 61557 => 61557 depart 20200902 14:50,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61389,61389,100E trip 222765026 route 61389 => 61389 depart 20200902 14:50,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61758,61758,69E trip 222752434 route 61758 => 50413 depart 20200902 15:30,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61526,61526,18E trip 222750299 route 61526 => 51441 depart 20200902 15:38,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61351,61351,103E trip 222766614 route 61351 => 61351 depart 20200902 15:35,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61705,61705,121E trip 222753712 route 61705 => 55934 depart 20200902 15:25,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61705,61705,121E trip 222753716 route 61705 => 61705 depart 20200902 15:30,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
60352,60352,69E trip 222752337 route 60352 => 60352 depart 20200902 15:27,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61351,61351,103E trip 222765217 route 61351 => 61816 depart 20200902 15:35,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61351,61351,103E trip 222765245 route 61351 => 61351 depart 20200902 15:35,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61526,61526,185E trip 222749984 route 61526 => 53075 depart 20200902 15:35,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61532,61532,119E trip 222766098 route 61532 => 59676 depart 20200902 15:20,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
60349,60349,139E trip 223162517 route 60349 => 53270 depart 20200902 15:25,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61703,61703,179E trip 222750492 route 61703 => 50229 depart 20200902 15:30,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61613,61613,161E trip 222750490 route 61613 => 56170 depart 20200902 15:42,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61614,61614,49E trip 221070206 route 61614 => 61614 depart 20200902 15:30,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61351,61351,104E trip 221219402 route 61351 => 56301 depart 20200902 15:35,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61526,61526,185E trip 222449106 route 61526 => 53075 depart 20200902 15:33,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61352,61352,44E trip 221070602 route 61352 => 61352 depart 20200902 15:30,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
60377,60377,121E trip 222752295 route 60377 => 60292 depart 20200902 15:20,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61351,61351,104E trip 221217712 route 61351 => 56301 depart 20200902 15:35,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61351,61351,103E trip 222767270 route 61351 => 50738 depart 20200902 15:35,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61352,61352,44E trip 221070283 route 61352 => 59034 depart 20200902 15:30,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61614,61614,39E trip 221070297 route 61614 => 60482 depart 20200902 15:30,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
60377,60377,121E trip 222751690 route 60377 => 60377 depart 20200902 15:24,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
55519,55519,121E trip 222751691 route 55519 => 55519 depart 20200902 15:19,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61352,61352,44E trip 221070110 route 61352 => 61352 depart 20200902 15:25,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61351,61351,103E trip 222765896 route 61351 => 61816 depart 20200902 15:40,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
61351,61351,103E trip 222766783 route 61351 => 61351 depart 20200902 15:35,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
60351,60351,69E trip 222752166 route 60351 => 54223 depart 20200902 15:27,,,https://github.com/austinhuang0131/stm-shuttle-tracker/wiki/Fake-STM-Stops,0,,0
